tg dimX dimY
231 9.67099952697754 969 161
232 9.3430004119873 970 160
233 9.3430004119873 970 160
234 9.27099990844727 974 158
235 9.72900009155273 975 158
236 8.61400032043457 971 158
237 8.92899990081787 972 157
238 8.77099990844727 974 156
239 9.44299983978271 975 156
240 8.11400032043457 975 153
241 8.92899990081787 976 152
242 9.68599987030029 963 228
243 8.85700035095215 965 230
244 7.27099990844727 1175 198
245 7.68599987030029 1174 201
246 7.22900009155273 1175 201
247 6.98600006103516 1179 199
248 8.98600006103516 1127 269
249 9.75699996948242 1128 272
250 9.61400032043457 1131 273
251 9.61400032043457 1128 273
252 8.87100028991699 1130 270
253 9.60000038146973 1130 266
254 9.57100009918213 1129 262
255 8.89999961853027 1131 264
256 8.82900047302246 1121 257
257 9.12899971008301 1123 260
258 8.81400012969971 1129 251
259 8.9709997177124 1129 249
260 8.89999961853027 1143 226
261 8.5 1140 225
262 8.81400012969971 1146 225
263 8.58600044250488 1147 222
264 8.22900009155273 1063 157
265 7.62900018692017 1065 161
266 7.97100019454956 1133 155
267 7.44299983978271 1132 151
268 7.54300022125244 1154 132
269 7.92899990081787 1153 133
270 7 1152 130
271 7.05700016021729 1151 130
272 9.4709997177124 872 300
273 10.1140003204346 873 301
274 9.89999961853027 874 303
275 9.78600025177002 875 304
276 9.89999961853027 874 303
277 9.78600025177002 875 304
278 10.0139999389648 872 301
279 10.1140003204346 873 301
280 7.04300022125244 1188 203
281 6.72900009155273 1188 200
282 9.60000038146973 848 153
283 9.48600006103516 847 156
284 9.91399955749512 942 277
285 9.38599967956543 943 281
286 9.18599987030029 976 246
287 8.68599987030029 973 248
288 6.72900009155273 1035 139
289 6.74300003051758 1035 142
290 8.24300003051758 1020 162
291 8.57100009918213 1016 162
292 7.80000019073486 928 88
293 7.42899990081787 926 89
294 7.51399993896484 927 89
295 7.52899980545044 927 91
296 8.32900047302246 902 101
297 8.14299964904785 903 104
298 8.30000019073486 902 100
299 7.87099981307983 902 97
300 7.45699977874756 1102 142
301 6.42899990081787 1100 140
302 7.88600015640259 1100 147
303 7.12900018692017 1099 144
304 9.0290002822876 937 155
305 8.01399993896484 939 158
306 8.69999980926514 942 152
307 8.87100028991699 942 147
308 8.77099990844727 1130 205
309 9.35700035095215 1130 208
310 9.19999980926514 1120 202
311 8.08600044250488 1117 201
312 8.37100028991699 1031 195
313 8.0290002822876 1032 192
314 6.68599987030029 1041 140
315 5.94299983978271 1044 140
316 8.61400032043457 1052 176
317 8.55700016021729 1051 173
318 9.31400012969971 1049 179
319 8.95699977874756 1046 180
320 7.72900009155273 1135 152
321 8.07100009918213 1139 150
