tg dimX dimY
1 9.38599967956543 914 231
2 9.38599967956543 914 231
3 9.37100028991699 911 232
4 9.37100028991699 911 232
5 9.48600006103516 914 233
6 9.48600006103516 914 233
7 9.75699996948242 910 234
8 9.75699996948242 910 234
9 9.37100028991699 914 235
10 9.37100028991699 914 235
11 9.68599987030029 911 236
12 9.68599987030029 911 236
13 9.75699996948242 838 152
14 9.75699996948242 838 152
15 10.0570001602173 839 149
16 10.0570001602173 839 149
17 9.24300003051758 976 275
18 8.87100028991699 979 274
19 8.85700035095215 979 273
20 10.4289999008179 1000 318
21 9.8430004119873 997 320
22 10.4569997787476 1003 309
23 9.48600006103516 999 309
24 10.3430004119873 887 319
25 10.2569999694824 886 319
26 9.81400012969971 886 323
27 9.68599987030029 885 323
28 10.1569995880127 885 319
29 9.8430004119873 884 319
30 10.21399974823 883 318
31 9.37100028991699 883 323
32 9.37100028991699 883 323
33 9.74300003051758 882 323
34 10.2430000305176 882 318
35 10.1140003204346 882 319
36 9.35700035095215 878 320
37 9.35700035095215 878 320
38 10.0290002822876 882 320
39 9.98600006103516 882 321
40 9.5290002822876 878 322
41 9.5290002822876 878 322
42 9.8430004119873 882 322
43 9.74300003051758 882 323
44 9.41399955749512 879 323
45 9.4709997177124 880 324
46 9.81400012969971 886 323
47 9.81400012969971 886 323
48 10.0430002212524 886 324
49 9.5 881 325
50 9.57100009918213 882 325
51 9.57100009918213 882 326
52 10.2430000305176 882 318
53 10.3140001296997 882 317
54 9.62899971008301 878 317
55 9.92899990081787 877 317
56 10 877 316
57 10.4429998397827 881 315
58 10.4709997177124 882 315
59 10.0860004425049 877 315
60 10.1859998703003 877 314
61 10.5290002822876 881 313
62 10.5290002822876 881 313
63 10.371000289917 878 313
64 10.5139999389648 878 312
65 10.1859998703003 880 311
66 10.5710000991821 878 311
67 10.4139995574951 879 310
68 10.5570001602173 878 310
69 10.4139995574951 884 317
70 10.3290004730225 885 318
71 10.4289999008179 883 316
72 10.4709997177124 882 315
73 9.61400032043457 913 357
74 9.68599987030029 913 356
75 9.24300003051758 917 356
76 9.54300022125244 917 355
77 9.27099990844727 906 268
78 9.48600006103516 907 268
79 9.27099990844727 904 269
80 9.1569995880127 903 270
81 9.32900047302246 907 270
82 9.32900047302246 907 270
83 9.3430004119873 904 271
84 9.58600044250488 905 272
85 9.31400012969971 906 273
86 9.38599967956543 906 274
87 9.44299983978271 910 274
88 9.31400012969971 909 274
89 9.38599967956543 906 275
90 9.54300022125244 906 276
91 9.92899990081787 909 276
92 9.92899990081787 909 276
93 9.95699977874756 907 293
94 9.94299983978271 907 294
95 9.8430004119873 904 294
96 9.85700035095215 904 295
97 9.81400012969971 908 295
98 9.80000019073486 908 296
