area	region	plot	habtiat	year	season	session	Mruf	Mrut	rodsp	Moec	Llem
varanger	nordkynn	hog5	greysided	2004	fall	2004fall	10	0	0	0	0
varanger	nordkynn	hog6	greysided	2004	fall	2004fall	1	0	0	0	0
varanger	nordkynn	hog7	greysided	2004	fall	2004fall	1	0	0	0	0
varanger	nordkynn	hog8	greysided	2004	fall	2004fall	1	0	0	0	0
varanger	nordkynn	hog9	greysided	2004	fall	2004fall	1	0	0	0	0
varanger	nordkynn	hol1	lemming	2004	fall	2004fall	1	0	0	0	0
varanger	nordkynn	hol10	lemming	2004	fall	2004fall	1	0	0	0	1
varanger	nordkynn	hol11	lemming	2004	fall	2004fall	0	0	0	0	0
varanger	nordkynn	hol12	lemming	2004	fall	2004fall	5	0	0	0	0
varanger	nordkynn	hol13	lemming	2004	fall	2004fall	5	0	0	1	0
varanger	nordkynn	hol14	lemming	2004	fall	2004fall	4	0	0	0	0
varanger	nordkynn	hol2	lemming	2004	fall	2004fall	2	0	0	0	0
varanger	nordkynn	hol3	lemming	2004	fall	2004fall	9	0	0	0	1
varanger	nordkynn	hol4	lemming	2004	fall	2004fall	4	0	0	0	0
varanger	nordkynn	hol5	lemming	2004	fall	2004fall	0	0	0	1	0
varanger	nordkynn	hol6	lemming	2004	fall	2004fall	5	0	0	0	0
varanger	nordkynn	hol7	lemming	2004	fall	2004fall	6	0	0	0	0
varanger	nordkynn	hol8	lemming	2004	fall	2004fall	4	0	0	0	0
varanger	nordkynn	hol9	lemming	2004	fall	2004fall	4	0	0	0	0
varanger	stjernevann	stg1	greysided	2004	fall	2004fall	2	0	0	0	0
varanger	stjernevann	stg10	greysided	2004	fall	2004fall	3	0	0	0	0
varanger	stjernevann	stg2	greysided	2004	fall	2004fall	6	0	0	0	0
varanger	stjernevann	stg3	greysided	2004	fall	2004fall	3	0	0	0	0
varanger	stjernevann	stg4	greysided	2004	fall	2004fall	2	0	0	0	0
varanger	stjernevann	stg5	greysided	2004	fall	2004fall	3	0	0	0	0
