region	plot	year	season	Llem	Moec	Mruf	Mrut	rodsp
ifjordfjellet	ifl4	2006	fall	0	2	0	0	0
ifjordfjellet	ifl5	2006	fall	1	0	2	0	0
ifjordfjellet	ifl6	2006	fall	0	0	3	0	0
ifjordfjellet	ifl7	2006	fall	0	4	0	0	0
ifjordfjellet	ifl8	2006	fall	0	2	0	0	0
ifjordfjellet	ifl9	2006	fall	0	0	0	0	0
komagdalen	k1	2006	fall	0	2	0	0	0
komagdalen	k10	2006	fall	0	0	7	0	0
komagdalen	k11	2006	fall	0	1	3	0	0
komagdalen	k12	2006	fall	0	1	7	0	0
komagdalen	k13	2006	fall	0	0	4	0	0
komagdalen	k14	2006	fall	0	2	3	0	0
komagdalen	k2	2006	fall	0	1	1	0	0
komagdalen	k3	2006	fall	0	0	2	0	0
komagdalen	k4	2006	fall	0	3	2	0	0
komagdalen	k5	2006	fall	0	1	0	0	0
komagdalen	k6	2006	fall	0	4	7	0	0
komagdalen	k7	2006	fall	0	0	2	0	0
komagdalen	k8	2006	fall	0	4	1	0	0
komagdalen	k9	2006	fall	0	1	7	0	0
stjernevann	stg1	2006	fall	0	0	6	0	0
stjernevann	stg10	2006	fall	2	0	8	0	0
stjernevann	stg2	2006	fall	0	0	4	0	0
stjernevann	stg3	2006	fall	0	0	9	0	0
stjernevann	stg4	2006	fall	0	1	7	0	0
stjernevann	stg5	2006	fall	0	1	6	0	0
stjernevann	stg6	2006	fall	0	1	11	0	0
stjernevann	stg7	2006	fall	0	2	2	0	0
stjernevann	stg8	2006	fall	0	0	3	0	0
stjernevann	stg9	2006	fall	0	0	3	0	0
stjernevann	stl1	2006	fall	0	0	0	0	0
stjernevann	stl10	2006	fall	0	1	0	0	0
stjernevann	stl11	2006	fall	0	0	0	0	0
stjernevann	stl12	2006	fall	0	2	0	0	0
stjernevann	stl13	2006	fall	0	7	1	0	0
stjernevann	stl14	2006	fall	1	1	0	0	0
stjernevann	stl2	2006	fall	0	0	1	0	0
stjernevann	stl3	2006	fall	0	0	1	0	0
stjernevann	stl4	2006	fall	0	0	0	0	0
stjernevann	stl5	2006	fall	1	0	0	0	0
stjernevann	stl6	2006	fall	1	0	0	0	0
stjernevann	stl7	2006	fall	2	2	2	0	0
stjernevann	stl8	2006	fall	0	0	0	0	0
stjernevann	stl9	2006	fall	0	4	0	0	0
vestre_jakobselv	vj1	2006	fall	1	0	0	0	0
vestre_jakobselv	vj10	2006	fall	1	3	6	0	0
vestre_jakobselv	vj11	2006	fall	0	0	0	0	0
vestre_jakobselv	vj2	2006	fall	4	5	1	0	0
vestre_jakobselv	vj3	2006	fall	3	3	6	0	0
vestre_jakobselv	vj4	2006	fall	0	0	0	0	0
vestre_jakobselv	vj5	2006	fall	1	1	4	0	0
vestre_jakobselv	vj6	2006	fall	1	0	0	0	0
