region	plot	year	season	Llem	Moec	Mruf	Mrut	rodsp
bekkarfjord	bfg7	2005	fall	0	0	5	0	0
bekkarfjord	bfg8	2005	fall	0	0	2	0	0
bekkarfjord	bfl1	2005	fall	0	0	0	0	0
bekkarfjord	bfl10	2005	fall	0	0	3	0	0
bekkarfjord	bfl2	2005	fall	0	0	0	0	0
bekkarfjord	bfl3	2005	fall	0	0	0	0	0
bekkarfjord	bfl4	2005	fall	0	0	1	0	0
bekkarfjord	bfl5	2005	fall	0	0	1	0	0
bekkarfjord	bfl6	2005	fall	0	0	1	0	0
bekkarfjord	bfl7	2005	fall	0	0	1	0	0
bekkarfjord	bfl8	2005	fall	0	0	3	0	0
bekkarfjord	bfl9	2005	fall	0	0	3	0	0
nordkynn	hog1	2005	fall	0	0	5	0	0
nordkynn	hog10	2005	fall	0	0	1	0	0
nordkynn	hog2	2005	fall	0	0	3	0	0
nordkynn	hog3	2005	fall	0	0	8	0	0
nordkynn	hog4	2005	fall	0	0	2	0	2
nordkynn	hog5	2005	fall	0	0	1	0	8
nordkynn	hog6	2005	fall	0	0	2	0	0
nordkynn	hog7	2005	fall	0	0	1	0	0
nordkynn	hog8	2005	fall	0	0	2	0	0
nordkynn	hog9	2005	fall	0	0	1	0	0
nordkynn	hol1	2005	fall	0	0	5	0	0
nordkynn	hol10	2005	fall	1	0	3	0	0
nordkynn	hol11	2005	fall	1	0	0	0	1
nordkynn	hol12	2005	fall	0	0	1	0	0
nordkynn	hol13	2005	fall	0	1	3	0	0
nordkynn	hol14	2005	fall	1	0	1	0	0
nordkynn	hol2	2005	fall	0	0	2	0	0
nordkynn	hol3	2005	fall	0	0	2	0	0
nordkynn	hol4	2005	fall	1	0	2	0	0
nordkynn	hol5	2005	fall	0	0	0	0	0
nordkynn	hol6	2005	fall	0	0	5	0	0
nordkynn	hol7	2005	fall	0	0	3	0	0
nordkynn	hol8	2005	fall	0	0	7	0	0
nordkynn	hol9	2005	fall	1	0	3	0	0
ifjordfjellet	ifg1	2005	fall	0	0	3	0	0
ifjordfjellet	ifg2	2005	fall	0	0	1	0	0
ifjordfjellet	ifg3	2005	fall	0	0	1	0	0
ifjordfjellet	ifg4	2005	fall	0	0	0	0	0
ifjordfjellet	ifg5	2005	fall	0	0	0	0	0
ifjordfjellet	ifg6	2005	fall	0	0	0	0	0
ifjordfjellet	ifg7	2005	fall	0	0	3	0	0
ifjordfjellet	ifg8	2005	fall	0	0	1	0	0
ifjordfjellet	ifl1	2005	fall	0	0	0	0	0
ifjordfjellet	ifl10	2005	fall	0	0	1	0	0
ifjordfjellet	ifl2	2005	fall	0	0	0	0	0
ifjordfjellet	ifl3	2005	fall	0	0	0	0	0
ifjordfjellet	ifl4	2005	fall	0	0	0	0	0
ifjordfjellet	ifl5	2005	fall	0	0	0	0	0
ifjordfjellet	ifl6	2005	fall	0	0	0	0	0
ifjordfjellet	ifl7	2005	fall	1	2	0	0	0
ifjordfjellet	ifl8	2005	fall	0	0	1	0	0
ifjordfjellet	ifl9	2005	fall	0	0	2	0	0
komagdalen	k1	2005	fall	0	3	1	0	0
komagdalen	k10	2005	fall	0	0	7	0	0
komagdalen	k11	2005	fall	0	0	7	0	0
komagdalen	k12	2005	fall	0	2	2	0	0
komagdalen	k13	2005	fall	0	0	3	0	0
komagdalen	k14	2005	fall	0	3	6	0	0
komagdalen	k2	2005	fall	0	0	7	0	0
komagdalen	k3	2005	fall	0	1	5	0	0
komagdalen	k4	2005	fall	0	1	3	0	0
komagdalen	k5	2005	fall	0	0	2	0	0
komagdalen	k6	2005	fall	0	1	2	0	0
komagdalen	k7	2005	fall	0	0	0	0	0
komagdalen	k8	2005	fall	0	2	3	0	0
komagdalen	k9	2005	fall	0	0	2	0	0
stjernevann	stg1	2005	fall	0	0	2	0	0
stjernevann	stg10	2005	fall	0	0	1	0	0
stjernevann	stg2	2005	fall	0	0	5	0	0
stjernevann	stg3	2005	fall	0	0	1	0	0
stjernevann	stg4	2005	fall	0	0	4	0	0
stjernevann	stg5	2005	fall	0	0	1	0	0
stjernevann	stg6	2005	fall	0	1	2	0	0
stjernevann	stg7	2005	fall	0	0	0	0	6
stjernevann	stg8	2005	fall	0	0	1	0	0
stjernevann	stg9	2005	fall	0	0	1	0	0
stjernevann	stl1	2005	fall	0	1	0	0	0
stjernevann	stl10	2005	fall	0	3	2	0	0
stjernevann	stl11	2005	fall	0	0	0	0	0
stjernevann	stl12	2005	fall	0	1	0	0	0
stjernevann	stl13	2005	fall	0	5	0	0	0
stjernevann	stl14	2005	fall	0	1	0	0	0
stjernevann	stl2	2005	fall	0	0	0	0	0
stjernevann	stl3	2005	fall	0	0	1	0	0
stjernevann	stl4	2005	fall	0	0	1	0	0
stjernevann	stl5	2005	fall	2	0	1	0	0
stjernevann	stl6	2005	fall	1	1	1	0	0
stjernevann	stl7	2005	fall	0	3	0	0	0
stjernevann	stl8	2005	fall	0	2	0	0	0
stjernevann	stl9	2005	fall	0	3	0	0	0
vestre_jakobselv	vj1	2005	fall	0	0	1	0	0
vestre_jakobselv	vj10	2005	fall	0	2	4	0	0
vestre_jakobselv	vj11	2005	fall	1	0	1	0	0
vestre_jakobselv	vj2	2005	fall	0	0	0	0	0
vestre_jakobselv	vj3	2005	fall	1	0	4	0	0
vestre_jakobselv	vj4	2005	fall	0	0	0	0	0
vestre_jakobselv	vj5	2005	fall	1	0	2	0	0
vestre_jakobselv	vj6	2005	fall	3	0	4	0	0
vestre_jakobselv	vj7	2005	fall	0	0	4	0	0
vestre_jakobselv	vj8	2005	fall	0	0	0	0	0
vestre_jakobselv	vj9	2005	fall	0	1	1	0	0
bekkarfjord	bfg1	2006	fall	0	0	0	0	0
bekkarfjord	bfg2	2006	fall	0	0	1	0	0
bekkarfjord	bfg3	2006	fall	0	0	1	0	0
bekkarfjord	bfg4	2006	fall	0	0	0	0	0
bekkarfjord	bfg5	2006	fall	0	1	2	0	0
bekkarfjord	bfg6	2006	fall	0	0	6	0	0
bekkarfjord	bfg7	2006	fall	0	0	1	0	0
bekkarfjord	bfg8	2006	fall	0	0	5	0	0
bekkarfjord	bfl1	2006	fall	0	0	3	0	0
bekkarfjord	bfl10	2006	fall	0	0	4	0	0
bekkarfjord	bfl2	2006	fall	0	0	2	0	0
bekkarfjord	bfl3	2006	fall	0	0	2	0	0
bekkarfjord	bfl4	2006	fall	0	0	1	0	0
bekkarfjord	bfl5	2006	fall	0	0	7	0	0
bekkarfjord	bfl6	2006	fall	0	0	4	0	0
bekkarfjord	bfl7	2006	fall	0	0	2	0	0
bekkarfjord	bfl8	2006	fall	0	0	1	0	0
bekkarfjord	bfl9	2006	fall	0	0	2	0	0
nordkynn	hog1	2006	fall	0	0	4	0	0
nordkynn	hog10	2006	fall	0	0	0	0	0
nordkynn	hog2	2006	fall	0	0	7	0	0
nordkynn	hog3	2006	fall	0	0	4	0	0
nordkynn	hog4	2006	fall	0	0	3	0	0
nordkynn	hog5	2006	fall	0	0	6	0	0
nordkynn	hog6	2006	fall	0	0	0	0	0
nordkynn	hog7	2006	fall	1	0	0	0	0
nordkynn	hog8	2006	fall	0	0	0	0	0
nordkynn	hog9	2006	fall	0	0	1	0	0
nordkynn	hol1	2006	fall	0	0	3	0	0
nordkynn	hol10	2006	fall	0	0	1	0	0
nordkynn	hol11	2006	fall	0	0	0	0	0
nordkynn	hol12	2006	fall	0	0	0	0	0
nordkynn	hol13	2006	fall	0	0	2	0	0
nordkynn	hol14	2006	fall	0	0	0	0	0
nordkynn	hol2	2006	fall	0	0	2	0	0
nordkynn	hol3	2006	fall	0	0	3	0	0
nordkynn	hol4	2006	fall	0	0	5	0	0
nordkynn	hol5	2006	fall	0	0	2	0	0
nordkynn	hol6	2006	fall	0	0	2	0	0
nordkynn	hol7	2006	fall	0	0	1	0	0
nordkynn	hol8	2006	fall	0	0	2	0	0
nordkynn	hol9	2006	fall	0	0	0	0	0
ifjordfjellet	ifg1	2006	fall	0	1	3	0	0
ifjordfjellet	ifg2	2006	fall	0	3	9	0	0
ifjordfjellet	ifg3	2006	fall	0	0	14	0	0
ifjordfjellet	ifg4	2006	fall	0	0	9	0	0
ifjordfjellet	ifg5	2006	fall	0	0	0	0	0
ifjordfjellet	ifg6	2006	fall	0	0	13	0	0
ifjordfjellet	ifg7	2006	fall	0	3	12	0	0
ifjordfjellet	ifg8	2006	fall	0	0	8	0	0
ifjordfjellet	ifl1	2006	fall	1	1	7	0	0
ifjordfjellet	ifl10	2006	fall	0	0	1	0	0
ifjordfjellet	ifl2	2006	fall	2	0	1	0	0
ifjordfjellet	ifl3	2006	fall	0	2	0	0	0
